37,MANUFACTURED HOME INDICATOR - ENRICHED,AlphaNumeric,,1,,"Identifier to indicate if a manufactured home is present on the parcel. Values are Y, N or NULL (Unknown)."
38,ZONING CODE,AlphaNumeric,,15,,The data contained in this field is based upon County and/or Local established Zoning Codes and is not converted by CoreLogic.
39,ZONING CODE DESCRIPTION,AlphaNumeric,,30,,County provided zoning code description that describes the allowable land use for the real property.
40,PROPERTY INDICATOR CODE - ENRICHED,AlphaNumeric,E_PRIND,3,,"A CoreLogic general code used to easily recognize specific property types (e.g., Single Family Residence, Condominium, Commercial)."
41,TOTAL NUMBER OF BUILDINGS - ENRICHED,Numeric,,3,,Total number of buildings on the parcel.
PROPERTY (PREMIUM) V2,,,,,,
42,VIEW CODE,AlphaNumeric,VIEW,3,,"View from building (e.g., Gulf, Mountains, Pool)."
43,LOCATION INFLUENCE CODE,AlphaNumeric,LOCIN,3,,"Positive or negative aspects associated with the location of the parcel (e.g., Waterfront, Flood Plain, Airport)."
44,FORECLOSURE STAGE CODE,AlphaNumeric,,3,,"CoreLogic standardized code that indicates the foreclosure process stage.  
Values:
YA = Auction
YD = Pre-Foreclosure
RR = REO (Real Estate Owned)
SS = REO Sale"
45,LAST FORECLOSURE TRANSACTION DATE,Numeric,,8,,CoreLogic derived date that identifies the parcel's chronology of active foreclosure transactions. Data is a concatenation of first eight characters of a date from the foreclosure filing date or foreclosure recording date fields.
GEOSPATIAL,,,,,,
46,BLOCK LEVEL LATITUDE,Numeric,,10,6,"CoreLogic derived geographic coordinate that specifies the north–south position of a point based on United States Postal Service address data for the parcel. The latitude contains numeric data values only conforming to the mask XX.ZZZZZZ, where the XX are the digits to the left of the decimal point, and ZZZZZZ are the digits to the right of the decimal point. Latitude is always a positive value north on the North American continent."
47,BLOCK LEVEL LONGITUDE,Numeric,,11,6,"CoreLogic derived geographic coordinate that specifies the east–west position of a point based on United States Postal Service address data for the parcel. The longitude contains numeric data values only conforming to the mask -XXX.ZZZZZZ, where the XXX are the numeric digits to the left of the decimal point, and ZZZZZZ are the 6 numeric digits to the right of the decimal point. Longitude is negative on the North American continent."
GEOSPATIAL (PREMIUM),,,,,,
48,PARCEL LEVEL LATITUDE,Numeric,,10,6,"CoreLogic proprietary parcel-centroid coordinate that specifies the north–south position of the center point of a parcel. The latitude contains numeric data values only conforming to the mask XX.ZZZZZZ, where the XX are the digits to the left of the decimal point, and ZZZZZZ are the digits to the right of the decimal point. Latitude is always a positive value north on the North American continent."
49,PARCEL LEVEL LONGITUDE,Numeric,,11,6,"CoreLogic proprietary parcel-centroid coordinate that specifies the east–west position of the center point of a parcel. The longitude contains numeric data values only conforming to the mask -XXX.ZZZZZZ, where the XXX are the numeric digits to the left of the decimal point, and ZZZZZZ are the 6 numeric digits to the right of the decimal point. Longitude is negative on the North American continent."
PROPERTY ADDRESS V2,,,,,,
50,SITUS HOUSE NUMBER,AlphaNumeric,,10,,The digits found to the left of a street name.
51,SITUS HOUSE NUMBER SUFFIX,AlphaNumeric,,10,,"The characters found to the immediate right of a house number (e.g., 202B Jones Rd)."
52,SITUS HOUSE NUMBER 2,AlphaNumeric,,10,,The second set of numbers in an address range.
53,SITUS DIRECTION,AlphaNumeric,,2,,"This field represents the direction found to the left of the street name (e.g., 9340 N Dunhill Dr). AKA Directional Abbreviations, Pre-Directional."
54,SITUS STREET NAME,AlphaNumeric,,30,,The name or number of the street where a parcel is located.
55,SITUS MODE,AlphaNumeric,,5,,"The Mode or Type of street found to the right of the street name (e.g., 9340 N Dunhill Dr). AKA Street Designators / Street Suffixes."
56,SITUS QUADRANT,AlphaNumeric,,2,,"The quadrant is found to the right of Situs Mode (e.g., 2040 NW 100 ST SW). AKA Post-Directional."
57,SITUS UNIT NUMBER,AlphaNumeric,,10,,"The unit or suite number of the property address (e.g., 649 Lake Shore Dr #1400)."
58,SITUS CITY,AlphaNumeric,,40,,The city associated with the property address.
59,SITUS STATE,AlphaNumeric,,2,,"The two-letter USPS postal abbreviation associated with the state / protectorates / commonwealth (e.g., CA, VI)."
60,SITUS ZIP CODE,AlphaNumeric,,9,,"Code assigned by the USPS. This is populated by various source files and other proprietary and non-proprietary processes. Data may be the 5-digit zip or 9-digit Zip+4 (e.g., 00501 or 954630042)."
61,SITUS COUNTY,AlphaNumeric,,30,,Situs county name.
62,SITUS CARRIER ROUTE,AlphaNumeric,,4,,This is the four digit code used by the local mail carrier to identify the delivery path.
63,SITUS STREET ADDRESS,AlphaNumeric,,60,,Full Situs address (not including City/St/Zip) (e.g. 123 N Main St)
64,SITUS CITY STATE ZIP SOURCE,AlphaNumeric,,1,,"Indicates the source of the City, State, and Zip address from the county file   
Values:
M = Mailing
S = Situs"
PROPERTY ADDRESS (PREMIUM),,,,,,
65,SITUS DELIVERY POINT VALIDATION CODE,AlphaNumeric,,2,,"CoreLogic standardized code contains the USPS delivery point validation code used to obtain Coding Accuracy Support System (CASS) Certification.Y = Address was DPV confirmed for both primary and (if present) secondary numbers.D = Address was DPV confirmed for the primary number only, and Secondary number information was missing.S = Address was DPV confirmed for the primary number only, and Secondary number information was present but unconfirmed.N = Both Primary and (if present) Secondary number information failed to DPV Confirm.Blank = Address not presented to hash table."
66,SITUS DELIVERY POINT VALIDATION VACANT INDICATOR,Numeric,,1,,"CoreLogic standardized code contains the USPS delivery point validation indicator showing if the property is vacant or occupied. 
Values: 
0 = Populated 
1 = Vacant"
PROPERTY ADDRESS - ENRICHED,,,,,,
67,PROPERTY HOUSE NUMBER - ENRICHED,AlphaNumeric,,20,,"Full house number of the property (e.g., 2040 or 10-4562)."
68,PROPERTY STREET NAME PREFIX DIRECTION - ENRICHED,AlphaNumeric,,2,,"This field represents the direction found to the left of the street name (e.g., 9340 N Dunhill Dr). AKA Directional Abbreviations, Pre-Directional."
69,PROPERTY STREET NAME - ENRICHED,AlphaNumeric,,50,,"The name or number of the street where a parcel is located.  Includes the full street name (e.g., VIA VAL VERDE)."
70,PROPERTY STREET NAME SUFFIX - ENRICHED,AlphaNumeric,,20,,"The Mode or Type of street found to the right of the street name (e.g., 9340 N Dunhill Dr). AKA Street Designators / Street Suffixes."
71,PROPERTY STREET NAME SUFFIX DIRECTION - ENRICHED,AlphaNumeric,,2,,"The quadrant is found to the right of Situs Mode (e.g., 2040 NW 100 ST SW). AKA Post-Directional."
72,PROPERTY UNIT TYPE - ENRICHED,AlphaNumeric,,15,,"The unit type of the property (e.g., Suite; Apt., #)."
73,PROPERTY UNIT NUMBER - ENRICHED,AlphaNumeric,,20,,"The unit or suite number of the property address (e.g., 649 Lake Shore Dr #1400)."
74,PROPERTY CITY - ENRICHED,AlphaNumeric,,40,,The city associated with the property address.
75,PROPERTY STATE - ENRICHED,AlphaNumeric,,2,,"The two-letter USPS postal abbreviation associated with the state / protectorates / commonwealth (e.g., CA, VI)."
76,PROPERTY ZIPCODE 5 - ENRICHED,AlphaNumeric,,5,,"Code assigned by the USPS. This is populated by various source files and other proprietary and non-proprietary processes. Data will be the 5-digit zip (e.g., 00501)."
77,PROPERTY ZIPCODE PLUS 4 - ENRICHED,AlphaNumeric,,4,,This is the four-digit code used by the local mail carrier to identify the delivery path.
78,PROPERTY COUNTY NAME - ENRICHED,AlphaNumeric,,40,,Situs county name.
79,PROPERTY ADDRESS LINE - ENRICHED,AlphaNumeric,,130,,"Full address line of the property (e.g., 123 N MAIN ST APT. 400)"
80,PROPERTY CITY LINE - ENRICHED,AlphaNumeric,,60,,"Full city line including city, state and zip code (e.g., EDMOND OK 73012-4174)."
81,PROPERTY FULL ADDRESS - ENRICHED,AlphaNumeric,,190,,"The full property address (e.g., 123 N MAIN ST EDMOND OK 73012).  May contain the full zip code 73012-4174)."
PROPERTY LEGAL V2,,,,,,
82,LEGAL BLOCK NUMBER,AlphaNumeric,,5,,"Identifies the county block number where the parcel is located. Part of a subdivision or tract legal description. Subdivisions are often broken down into blocks, which are then broken down into lots."
83,LEGAL BLOCK NUMBER SUFFIX,AlphaNumeric,,1,,Identifies the county block number suffix where the parcel is located.
84,LEGAL LOT NUMBER,AlphaNumeric,,5,,"Subdivision or County Map Lot Number. Part of a subdivision or tract legal description. Subdivisions are often broken down into blocks, which are then broken down into lots."
85,LEGAL LOT NUMBER SUFFIX,AlphaNumeric,,1,,Subdivision or County Map Lot Number Suffix.
86,SUBDIVISION TRACT NUMBER,AlphaNumeric,,15,,The unique number assigned to a specific subdivision by the county. Often this is used in lieu of an actual subdivision name.
87,SUBDIVISION PLAT BOOK,AlphaNumeric,,10,,"The first component of a recording system used by some counties to catalog subdivision / condo plans (e.g., Book 123 Page 55A)."
88,SUBDIVISION PLAT PAGE,AlphaNumeric,,10,,"The second component of a recording system used by some counties to catalog subdivision / condo plans (e.g., Book 123 Page 55A)."
89,SUBDIVISION NAME,AlphaNumeric,,60,,"The name of the Subdivision or Condominium where the parcel is located (e.g., Highland Mills Estates, Crystal Towers Condo)."
90,LEGAL DESCRIPTION,AlphaNumeric,,750,,"County or local jurisdiction legal property descriptions. This description provides additional information regarding the property. It primarily delineates the exact boundaries of the property and may include other values like mineral rights, description of the layout of the property, etc."
OWNER V2,,,,,,
91,OWNER 1 FULL NAME,AlphaNumeric,,60,,Full name of property owner - 1st occurrence.
92,OWNER 1 LAST NAME,AlphaNumeric,,30,,Last name of property owner - 1st occurrence.
93,OWNER 1 FIRST NAME AND MIDDLE INITIAL,AlphaNumeric,,45,,First name and middle initial of property owner - 1st occurrence.
94,OWNER 2 FULL NAME,AlphaNumeric,,60,,Additional owner name if more than one entity owns the property.
95,OWNER 2 LAST NAME,AlphaNumeric,,30,,Additional owner name data if more than one entity owns the property.
96,OWNER 2 FIRST NAME AND MIDDLE INITIAL,AlphaNumeric,,45,,Additional owner name data if more than one entity owns the property.
OWNER (PREMIUM) V3,,,,,,
97,OWNER 1 CORPORATE INDICATOR,AlphaNumeric,,1,,Indicator that the property owner has been recognized as a corporation or business.
98,OWNER 2 CORPORATE INDICATOR,AlphaNumeric,,1,,Indicator that the property owner has been recognized as a corporation or business.
99,OWNER 3 FULL NAME,AlphaNumeric,,60,,Additional owner name if more than one entity owns the property.
100,OWNER 3 LAST NAME,AlphaNumeric,,30,,Additional owner name data if more than one entity owns the property.
101,OWNER 3 FIRST NAME AND MIDDLE INITIAL,AlphaNumeric,,45,,Additional owner name data if more than one entity owns the property.
102,OWNER 3 CORPORATE INDICATOR,AlphaNumeric,,1,,Indicator that the property owner has been recognized as a corporation or business.
103,OWNER 4 FULL NAME,AlphaNumeric,,60,,Additional owner name if more than one entity owns the property.
104,OWNER 4 LAST NAME,AlphaNumeric,,30,,Additional owner name data if more than one entity owns the property.
105,OWNER 4 FIRST NAME AND MIDDLE INITIAL,AlphaNumeric,,45,,Additional owner name data if more than one entity owns the property.
106,OWNER 4 CORPORATE INDICATOR,AlphaNumeric,,1,,Indicator that the property owner has been recognized as a corporation or business.
107,OWNER ETAL CODE,AlphaNumeric,ETAL,1,,"A code appearing in this field indicates additional ownership, whose name(s) were not provided by our sources. Values are:
A = ET AL - AND OTHERS
C = ET CON - AND HUSBAND
U = ET UX - AND WIFE
V = ET VIR - AND HUSBAND."
108,OWNER OWNERSHIP RIGHTS CODE,AlphaNumeric,VEST2,3,,"Form or method of property ownership (e.g., Joint Tenants, Living Trust)."
109,OWNER RELATIONSHIP TYPE CODE,AlphaNumeric,VEST3,2,,"Relationship between multiple owners or the marital status of a single owner (e.g., Husband/Wife, Unmarried Man)."
110,OWNER OCCUPANCY CODE,AlphaNumeric,ABSNT,1,,"CoreLogic derived code that indicates if the property owner resides at the situs (property site). Values of M, O, and S indicate owner occupied (A and T reflect absentee owners)."
OWNER TRUST NAME,,,,,,
111,OWNER 1 ORIGINAL TRUST NAME,AlphaNumeric,,60,,Owner 1 Original Trust Name found on the document which is the original provided source name.
OWNER MAILING V2,,,,,,
112,MAILING HOUSE NUMBER,AlphaNumeric,,10,,"The digits found to the left of a street name, representing the house number for the mailing address."
113,MAILING HOUSE NUMBER SUFFIX,AlphaNumeric,,10,,"The characters found to the immediate right of a house number (e.g., 202B Jones Rd)."
114,MAILING HOUSE NUMBER 2,AlphaNumeric,,10,,The second set of numbers in an address range.
115,MAILING DIRECTION,AlphaNumeric,,2,,"This field represents the direction found to the left of the street name (e.g., 9340 N Dunhill Dr). AKA Directional Abbreviations, Pre-Directional."
116,MAILING STREET NAME,AlphaNumeric,,30,,The name or number of the street of the mailing address.
117,MAILING MODE,AlphaNumeric,,5,,"The Mode or Type of street found to the right of the street name (e.g., 9340 N Dunhill Dr). AKA Street Designators / Street Suffixes."
118,MAILING QUADRANT,AlphaNumeric,,2,,"The quadrant is found to the right of Mailing Mode (e.g., 2040 NW 100 ST SW). AKA Post-Directional."
119,MAILING UNIT NUMBER,AlphaNumeric,,10,,"The unit or suite number of the mailing address (e.g., 649 Lake Shore Dr #1400)."
120,MAILING CITY,AlphaNumeric,,40,,The city associated with the mailing address.
121,MAILING STATE,AlphaNumeric,,2,,"The two-letter USPS postal abbreviation associated with the state / protectorates / commonwealth (e.g., CA, VI)."
122,MAILING ZIP CODE,AlphaNumeric,,9,,"Code assigned by the USPS. This is populated by various source files and other proprietary and non-proprietary processes. Data may be the 5-digit zip or 9-digit Zip+4 (e.g., 00501 or 954630042)."
123,MAILING CARRIER ROUTE,AlphaNumeric,,4,,This is the four digit code used by the local mail carrier to identify the delivery path.
124,MAILING STREET ADDRESS,AlphaNumeric,,60,,Full mail address (not including City/St/Zip) (e.g. 123 N Main St).  This also contains unparsed foreign mailing address.
125,OWNER CARE OF NAME,AlphaNumeric,,60,,CoreLogic standardized and parsed name for the person receiving mail on behalf of the owner.
126,MAILING OPT OUT INDICATOR,AlphaNumeric,,1,,"A ""Y"" represents a record where the property owner has contacted the DMA (i.e., Direct Marketing Association) and has asked not to be contacted by mail for solicitation."
OWNER MAILING (PREMIUM),,,,,,
127,MAILING DELIVERY POINT VALIDATION CODE,AlphaNumeric,,2,,"CoreLogic standardized code contains the USPS delivery point validation code used to obtain Coding Accuracy Support System (CASS) Certification.  Y = Address was DPV confirmed for both primary and (if present) secondary numbers.D = Address was DPV confirmed for the primary number only, and Secondary number information was missing.S = Address was DPV confirmed for the primary number only, and Secondary number information was present but unconfirmed.N = Both Primary and (if present) Secondary number information failed to DPV Confirm.Blank = Address not presented to hash table."
128,MAILING DELIVERY POINT VALIDATION VACANT INDICATOR,Numeric,,1,,"CoreLogic internal field containing the United State Postal Service (USPS) delivery point validation that indicates a vacant property.
Values:
1 = Yes, exclude from data or products
0= No exclusion"
TAX V3,,,,,,
129,CALCULATED TOTAL VALUE,Numeric,,11,,"The ""TOTAL"" (i.e., Land + Improvement) Value closest to current market value used for assessment by county or local taxing authorities."
130,CALCULATED LAND VALUE,Numeric,,11,,"The ""LAND"" Value closest to current market value used for assessment by county or local taxing authorities."
131,CALCULATED IMPROVEMENT VALUE,Numeric,,11,,"The ""IMPROVEMENT"" Value closest to current market value used for assessment by county or local taxing authorities."
132,CALCULATED TOTAL VALUE SOURCE CODE,AlphaNumeric,,1,,"The code appearing in this indicator field reflects the type of values used to seed the TOTAL VALUE CALCULATED field (i.e., A = Assessed, M = Market, P = Appraised, T = Transitional)."
133,ASSESSED TOTAL VALUE,Numeric,,11,,The Total Assessed Value of the Parcel's Land & Improvement values as provided by the county or local taxing/assessment authority.
134,ASSESSED LAND VALUE,Numeric,,11,,The Assessed Land Value as provided by the county or local taxing/assessment authority.
135,ASSESSED IMPROVEMENT VALUE,Numeric,,11,,The Assessed Improvement Value as provided by the county or local taxing/assessment authority.
136,MARKET TOTAL VALUE,Numeric,,11,,The Total Market Value of the Parcel's Land & Improvement values as provided by the county or local taxing/assessment authority.
137,MARKET LAND VALUE,Numeric,,11,,The Market Land Value as provided by the county or local taxing/assessment authority.
138,MARKET IMPROVEMENT VALUE,Numeric,,11,,The Market Improvement Value as provided by the county or local taxing/assessment authority.
139,APPRAISED TOTAL VALUE,Numeric,,11,,The Total Appraised Value of the Parcel's Land & Improvement as provided by the county or local taxing/assessment authority.
140,APPRAISED LAND VALUE,Numeric,,11,,The Appraised Land Value as provided by the county or local taxing/assessment authority.
141,APPRAISED IMPROVEMENT VALUE,Numeric,,11,,The Appraised Improvement Value as provided by the county or local taxing/assessment authority.
142,TOTAL TAX AMOUNT,Numeric,,14,2,Total property tax amount for the current tax year.
143,NET TAX AMOUNT,Numeric,,13,2,Property tax amount less exemptions and/or credits.
144,TAX YEAR,Numeric,,4,,The tax year for which the taxes were billed.
145,ASSESSED YEAR,Numeric,,4,,The assessment year for which the taxes were billed.
146,TAX AREA CODE,AlphaNumeric,,10,,Identifies the tax area code associated with the parcel.
147,TOTAL PROPERTY TAX RATE PERCENT,Numeric,,7,3,County provided tax rate for the property based on Property Taxes billed through the county.
148,TAXABLE IMPROVEMENT VALUE,Numeric,,9,,County provided value of the improvement applied to the parcel used in the calculation of the tax bill.
149,TAXABLE LAND VALUE,Numeric,,9,,County provided land value of a parcel used in the calculation of the tax bill.
150,TAXABLE OTHER VALUE,Numeric,,9,,"County provided value of fixture, features or miscellaneous values used in the calculation of the tax bill."
151,NET TAXABLE VALUE,Numeric,,13,2,Assessed Value less exemptions or credits.
TAX EXEMPTION V3,,,,,,
152,HOMESTEAD EXEMPT INDICATOR,AlphaNumeric,,1,,"This field will be set with a ""Y"" if the owner has qualified for a Homeowner/Homestead exemption."
153,SENIOR EXEMPT INDICATOR,AlphaNumeric,,1,,"This field will be set with a ""Y"" if the owner has qualified for a Senior exemption."
154,DISABLED EXEMPT INDICATOR,AlphaNumeric,,1,,"This field will be set with a ""Y"" if the owner has qualified for a Disabled exemption."
155,VETERAN EXEMPT INDICATOR,AlphaNumeric,,1,,"This field will be set with a ""Y"" if the owner has qualified for a Veteran exemption."
156,WIDOW EXEMPT INDICATOR,AlphaNumeric,,1,,"This field will be set with a ""Y"" if the owner has qualified for a Widow exemption."
157,TOTAL TAX EXEMPTION AMOUNT,Numeric,,11,,Total amount of assessed value exempt from taxation.
158,CALCULATED TOTAL TAX EXEMPTION AMOUNT,Numeric,,11,,CoreLogic calculated total amount of all the exemptions to property taxes on the property site.
PURCHASE TRANSACTION V3,,,,,,
159,TRANSACTION BATCH DATE,Numeric,,8,,CoreLogic internal date number - can be used in the creation of unique keys (format is YYYYMMDD).
160,TRANSACTION BATCH SEQUENCE NUMBER,Numeric,,5,,CoreLogic internal sequence number - can be used in the creation of unique keys.
161,MULTI OR SPLIT PARCEL CODE,AlphaNumeric,SLTY2,1,,"Indicates either that the transaction involves multiple parcels, or the split of an existing parcel."
162,SALE RECORDED DOCUMENT NUMBER,AlphaNumeric,,12,,The document number used by some counties to record sales transactions.
163,SALE RECORDED DOCUMENT BOOK NUMBER,AlphaNumeric,,6,,The Book number used by some counties to catalog their sales recordings.
164,SALE RECORDED DOCUMENT PAGE NUMBER,AlphaNumeric,,6,,The Page number used by some counties to catalog their sales recordings.
165,SALE DOCUMENT TYPE CODE,AlphaNumeric,DOCTY,6,,"The type of deed used to record the sales transaction (e.g., Grant, Quit, Foreclosure)."
166,SALE RECORDING DATE,Numeric,,8,,The date the sales transaction was recorded at the county. This date is generally considered the transfer of ownership date. Format: YYYYMMDD.
167,SALE DATE,Numeric,,8,,"Date that the deed was prepared in advance of being notarized and prior to being recorded. If the day and/or month is missing, CoreLogic populates these values with 00. Format: YYYYMMDD."
168,SALE AMOUNT,Numeric,,14,2,Dollar amount of the most recent sale of the property.
169,SALE TYPE CODE,AlphaNumeric,SLTYP,1,,This field indicates what the financial consideration is - if a Deed record represents a change of ownership (Sale).
170,TRANSACTION TYPE CODE,AlphaNumeric,TRNTP,3,,"This field details the type of real estate transaction associated with a single recorded legal document, or a set of concurrently recorded documents, i.e. Market Sale with or without a Mortgage, Standalone Mortgage, Construction Financing Loan, etc.  "
171,TITLE COMPANY CODE,AlphaNumeric,,5,,This is a CoreLogic internal code used to identify the Title Company that was associated with the sales transaction.
172,TITLE COMPANY NAME,AlphaNumeric,,60,,This is the Title Company associated with the sales transaction.
173,RESIDENTIAL INDICATOR,AlphaNumeric,,1,,Indicates whether the property is residential. Y = yes or NULL = no or unknown.
174,SELLER NAME,AlphaNumeric,,60,,The seller's name as it appears on the recorded sales transaction.
PURCHASE MORTGAGE PRIMARY V2,,,,,,
175,PRIMARY MORTGAGE AMOUNT,Numeric,,14,2,The amount of the primary mortgage associated with the most recent purchase deed.
176,PRIMARY MORTGAGE DATE,Numeric,,8,,"Borrower's signature date on mortgage/deed of trust. This represents the date the borrower’s obligation to the lender begins, i.e. loan open date. This date is the same or prior to the recording date. If the day and/or month is missing, CoreLogic populates these values with 00. Format: YYYYMMDD."
177,PRIMARY MORTGAGE LOAN TYPE CODE,AlphaNumeric,MTGTP,5,,"Type of loan secured as part of the PRIMARY mortgage (e.g., Conventional, FHA, VA)."
178,PRIMARY MORTGAGE DOCUMENT TYPE CODE,AlphaNumeric,DOCTY,6,,"Type of deed used for recording (e.g., Mortgage, Deed of Trust)."
179,PRIMARY MORTGAGE TERM CODE,AlphaNumeric,MTGTC,4,,"Code used to identify whether the number stored in MORTGAGE TERM is in days, months or years."
180,PRIMARY MORTGAGE TERM,Numeric,,5,,Specific time period that identifies the mortgage due or maturity term. Corresponds with the MORTGAGE TERM CODE field.
181,PRIMARY MORTGAGE DUE DATE,Numeric,,8,,"The date the mortgage becomes due. If the day and/or month is missing, CoreLogic populates these values with '00'. Format: YYYYMMDD. May be derived."
182,PRIMARY MORTGAGE ASSUMPTION AMOUNT,Numeric,,9,,The assumption amount related to an existing mortgage.
183,PRIMARY LENDER COMPANY CODE,AlphaNumeric,,10,,"CoreLogic standardized lender code that identifies the mortgage lender (e.g., Bank of America = 000003) and that is used to identify the Lending Company that is associated with the sales transaction."
184,PRIMARY LENDER FULL NAME,AlphaNumeric,,60,,Full name of Lender as recorded on the original document that is associated with the sales transaction.
PURCHASE MORTGAGE JUNIOR,,,,,,
185,JUNIOR MORTGAGE AMOUNT,Numeric,,14,2,The amount of the JUNIOR mortgage associated with the most recent purchase deed.
186,JUNIOR MORTGAGE LOAN TYPE CODE,AlphaNumeric,MTGTP,5,,"Type of loan secured as part of the JUNIOR mortgage (e.g., Conventional, FHA, VA)."
